txn_id,customer_id,amount,timestamp,merchant,risk_label,risk_score
1,103,48,2026-05-20 07:36:51.180295,BestBuy,0,0.96
2,436,40,2026-05-21 22:22:00.180327,Amazon,0,0.8
3,861,35,2026-05-22 13:03:39.180333,Amazon,0,0.7
4,271,71,2026-05-24 13:15:14.180336,Walmart,0,1.42
5,107,31,2026-05-22 13:43:26.180338,Walmart,0,0.62
6,72,46,2026-05-20 08:05:23.180341,Walmart,0,0.92
7,701,108,2026-05-23 09:28:33.180344,Amazon,0,2.16
8,21,98,2026-05-20 16:09:57.180346,Target,0,1.96
9,615,113,2026-05-25 22:57:31.180348,Target,0,2.26
10,122,144,2026-05-23 01:26:13.180350,Target,0,2.88
11,467,59,2026-05-26 05:00:42.180352,BestBuy,0,1.18
12,215,160,2026-05-22 10:00:16.180355,Amazon,0,3.2
13,331,56,2026-05-20 14:11:32.180357,Target,0,1.12
14,459,112,2026-05-24 21:05:06.180359,Amazon,0,2.24
15,88,34,2026-05-25 08:47:53.180361,Amazon,0,0.68
16,373,159,2026-05-22 18:01:06.180363,BestBuy,0,3.18
17,100,297,2026-05-25 03:39:00.180365,Walmart,0,5.94
18,872,66,2026-05-24 02:35:29.180367,Walmart,0,1.32
19,664,32,2026-05-22 11:48:15.180369,BestBuy,0,0.64
20,131,110,2026-05-25 22:36:23.180371,BestBuy,0,2.2
21,662,105,2026-05-22 14:16:23.180373,Amazon,0,2.1
22,309,92,2026-05-22 14:29:40.180375,Target,0,1.84
23,770,61,2026-05-25 09:15:14.180377,Amazon,0,1.22
24,344,16,2026-05-22 03:26:43.180379,Amazon,0,0.32
25,492,74,2026-05-25 09:04:43.180382,Target,0,1.48
26,414,111,2026-05-22 08:48:09.180384,Walmart,0,2.22
27,806,50,2026-05-24 03:29:13.180386,Amazon,0,1.0
28,386,165,2026-05-25 12:34:13.180388,Walmart,0,3.3
29,192,92,2026-05-24 21:31:41.180390,Walmart,0,1.84
30,956,69,2026-05-25 12:44:52.180393,Walmart,0,1.38
31,277,23,2026-05-21 16:38:44.180395,Amazon,0,0.46
32,161,73,2026-05-25 00:45:09.180397,Target,0,1.46
33,460,37,2026-05-19 19:55:22.180399,Target,0,0.74
34,314,134,2026-05-21 12:56:45.180401,Walmart,0,2.68
35,22,97,2026-05-23 08:46:42.180403,Walmart,0,1.94
36,253,43,2026-05-21 18:40:32.180405,Target,0,0.86
37,748,31,2026-05-20 04:04:11.180407,BestBuy,0,0.62
38,857,33,2026-05-22 18:36:30.180409,BestBuy,0,0.66
39,561,14,2026-05-25 03:46:48.180411,Walmart,0,0.28
40,475,164,2026-05-25 07:04:19.180413,Target,0,3.28
41,59,111,2026-05-21 14:02:39.180415,BestBuy,0,2.22
42,511,24,2026-05-24 04:46:25.180417,Target,0,0.48
43,682,153,2026-05-23 12:12:50.180419,Amazon,0,3.06
44,476,61,2026-05-22 06:14:35.180421,Walmart,0,1.22
45,700,53,2026-05-24 13:20:08.180423,BestBuy,0,1.06
46,976,43,2026-05-25 11:31:35.180425,Walmart,0,0.86
47,783,35,2026-05-23 10:35:22.180427,Amazon,0,0.7
48,190,98,2026-05-21 12:16:29.180429,Target,0,1.96
49,958,171,2026-05-21 08:27:55.180431,Walmart,0,3.42
50,687,176,2026-05-20 02:50:47.180434,BestBuy,0,3.52
51,958,50,2026-05-25 12:12:34.180436,Amazon,0,1.0
52,563,18,2026-05-22 15:23:12.180438,BestBuy,0,0.36
53,876,123,2026-05-20 03:02:56.180440,Target,0,2.46
54,567,85,2026-05-24 16:39:11.180442,BestBuy,0,1.7
55,244,215,2026-05-24 19:22:28.180444,BestBuy,1,43.0
56,832,182,2026-05-21 17:39:03.180446,BestBuy,0,3.64
57,505,86,2026-05-24 06:39:49.180448,Amazon,0,1.72
58,131,259,2026-05-25 09:43:09.180450,BestBuy,1,51.8
